"region","label"
NA,NA
"bankssts","lh_bankssts"
"caudal middle frontal","lh_caudalmiddlefrontal"
"fusiform","lh_fusiform"
"inferior parietal","lh_inferiorparietal"
"inferior temporal","lh_inferiortemporal"
"lateral occipital","lh_lateraloccipital"
"lateral orbitofrontal","lh_lateralorbitofrontal"
"middle temporal","lh_middletemporal"
"pars opercularis","lh_parsopercularis"
"pars orbitalis","lh_parsorbitalis"
"pars triangularis","lh_parstriangularis"
"postcentral","lh_postcentral"
"precentral","lh_precentral"
"rostral middle frontal","lh_rostralmiddlefrontal"
"superior frontal","lh_superiorfrontal"
"superior parietal","lh_superiorparietal"
"superior temporal","lh_superiortemporal"
"supramarginal","lh_supramarginal"
"temporal pole","lh_temporalpole"
"transverse temporal","lh_transversetemporal"
"insula","lh_insula"
NA,NA
"caudal anterior cingulate","lh_caudalanteriorcingulate"
"corpus callosum","lh_corpuscallosum"
"cuneus","lh_cuneus"
"entorhinal","lh_entorhinal"
"fusiform","lh_fusiform"
"isthmus cingulate","lh_isthmuscingulate"
"lateral occipital","lh_lateraloccipital"
"lateral orbitofrontal","lh_lateralorbitofrontal"
"lingual","lh_lingual"
"medial orbitofrontal","lh_medialorbitofrontal"
"parahippocampal","lh_parahippocampal"
"paracentral","lh_paracentral"
"pericalcarine","lh_pericalcarine"
"postcentral","lh_postcentral"
"posterior cingulate","lh_posteriorcingulate"
"precentral","lh_precentral"
"precuneus","lh_precuneus"
"rostral anterior cingulate","lh_rostralanteriorcingulate"
"superior frontal","lh_superiorfrontal"
"superior parietal","lh_superiorparietal"
"frontal pole","lh_frontalpole"
"temporal pole","lh_temporalpole"
NA,NA
"caudal anterior cingulate","rh_caudalanteriorcingulate"
"corpus callosum","rh_corpuscallosum"
"cuneus","rh_cuneus"
"entorhinal","rh_entorhinal"
"fusiform","rh_fusiform"
"isthmus cingulate","rh_isthmuscingulate"
"lateral occipital","rh_lateraloccipital"
"lateral orbitofrontal","rh_lateralorbitofrontal"
"lingual","rh_lingual"
"medial orbitofrontal","rh_medialorbitofrontal"
"parahippocampal","rh_parahippocampal"
"paracentral","rh_paracentral"
"pericalcarine","rh_pericalcarine"
"postcentral","rh_postcentral"
"posterior cingulate","rh_posteriorcingulate"
"precentral","rh_precentral"
"precuneus","rh_precuneus"
"rostral anterior cingulate","rh_rostralanteriorcingulate"
"superior frontal","rh_superiorfrontal"
"superior parietal","rh_superiorparietal"
"frontal pole","rh_frontalpole"
"temporal pole","rh_temporalpole"
NA,NA
"bankssts","rh_bankssts"
"caudal middle frontal","rh_caudalmiddlefrontal"
"fusiform","rh_fusiform"
"inferior parietal","rh_inferiorparietal"
"inferior temporal","rh_inferiortemporal"
"lateral occipital","rh_lateraloccipital"
"lateral orbitofrontal","rh_lateralorbitofrontal"
"middle temporal","rh_middletemporal"
"pars opercularis","rh_parsopercularis"
"pars orbitalis","rh_parsorbitalis"
"pars triangularis","rh_parstriangularis"
"postcentral","rh_postcentral"
"precentral","rh_precentral"
"rostral middle frontal","rh_rostralmiddlefrontal"
"superior frontal","rh_superiorfrontal"
"superior parietal","rh_superiorparietal"
"superior temporal","rh_superiortemporal"
"supramarginal","rh_supramarginal"
"temporal pole","rh_temporalpole"
"transverse temporal","rh_transversetemporal"
"insula","rh_insula"
